START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
09/18/15,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",09/18/15,09/18/15,10:07 PM,10:07 PM,FALSE,TRUE,09/18/15,06:07 PM,06:07 PM,FREE,BUSY
09/19/15,04:07 PM,04:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- MLBN ----- Local Radio: SN590",09/19/15,09/19/15,07:07 PM,07:07 PM,FALSE,TRUE,09/19/15,03:07 PM,03:07 PM,FREE,BUSY
09/20/15,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- TVA Sports ----- Local Radio: SN590",09/20/15,09/20/15,04:07 PM,04:07 PM,FALSE,TRUE,09/20/15,12:07 PM,12:07 PM,FREE,BUSY
09/21/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- TVA Sports ----- Local Radio: SN590",09/21/15,09/21/15,10:07 PM,10:07 PM,FALSE,TRUE,09/21/15,06:07 PM,06:07 PM,FREE,BUSY
09/22/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- ESPN ----- Local Radio: SN590",09/22/15,09/22/15,10:07 PM,10:07 PM,FALSE,TRUE,09/22/15,06:07 PM,06:07 PM,FREE,BUSY
09/23/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- ESPN- TVA Sports ----- Local Radio: SN590",09/23/15,09/23/15,10:07 PM,10:07 PM,FALSE,TRUE,09/23/15,06:07 PM,06:07 PM,FREE,BUSY
09/25/15,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",09/25/15,09/25/15,10:07 PM,10:07 PM,FALSE,TRUE,09/25/15,06:07 PM,06:07 PM,FREE,BUSY
09/26/15,01:07 PM,01:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",09/26/15,09/26/15,04:07 PM,04:07 PM,FALSE,TRUE,09/26/15,12:07 PM,12:07 PM,FREE,BUSY
09/27/15,01:07 PM,01:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",09/27/15,09/27/15,04:07 PM,04:07 PM,FALSE,TRUE,09/27/15,12:07 PM,12:07 PM,FREE,BUSY
09/28/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET ----- Local Radio: SN590",09/28/15,09/28/15,10:05 PM,10:05 PM,FALSE,TRUE,09/28/15,06:05 PM,06:05 PM,FREE,BUSY
09/29/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET ----- Local Radio: SN590",09/29/15,09/29/15,10:05 PM,10:05 PM,FALSE,TRUE,09/29/15,06:05 PM,06:05 PM,FREE,BUSY
09/30/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET ----- Local Radio: SN590",09/30/15,09/30/15,10:05 PM,10:05 PM,FALSE,TRUE,09/30/15,06:05 PM,06:05 PM,FREE,BUSY
10/01/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET ----- Local Radio: SN590",10/01/15,10/01/15,10:05 PM,10:05 PM,FALSE,TRUE,10/01/15,06:05 PM,06:05 PM,FREE,BUSY
10/02/15,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",10/02/15,10/02/15,10:10 PM,10:10 PM,FALSE,TRUE,10/02/15,06:10 PM,06:10 PM,FREE,BUSY
10/03/15,06:10 PM,06:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",10/03/15,10/03/15,09:10 PM,09:10 PM,FALSE,TRUE,10/03/15,05:10 PM,05:10 PM,FREE,BUSY
10/04/15,03:10 PM,03:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",10/04/15,10/04/15,06:10 PM,06:10 PM,FALSE,TRUE,10/04/15,02:10 PM,02:10 PM,FREE,BUSY
